descripcion,resolucion,procedimiento,ley,palabras_clave
Empleado denuncia horas extras no pagadas,Revisar contrato y pagar horas extras,- Verificar registros de horas extras. - Realizar pago retroactivo. - Ajustar procesos de registro.,Artículo 10 de la Ley 28806 (Jornada máxima),"horas extras, no pagadas, salario, compensación"
Trabajador despedido sin justificación,"Verificar razones del despido, buscar indemnización si es injustificado",- Revisar causas de despido. - Verificar documentación. - Iniciar proceso de indemnización.,Artículo 34 del DS 003-97-TR (Despido injustificado),"despido, sin justificación, despido injustificado, compensación"
Empleado denuncia acoso laboral,"Investigar la denuncia, tomar medidas disciplinarias si se confirma el acoso",- Recopilar testimonios. - Investigar confidencialmente. - Aplicar sanciones según reglamento.,Artículo 15 de la Ley 27942 (Acoso laboral),"acoso laboral, acoso, violencia, hostigamiento"
Conflicto por condiciones de trabajo inseguras,"Mejorar la seguridad en el trabajo, proporcionar equipo de protección",- Inspeccionar área de trabajo. - Proveer EPP. - Capacitar en seguridad.,Artículo 29 de la Ley 29783 (Seguridad y salud),"condiciones de trabajo, inseguro, peligro, seguridad"
Salario no pagado a tiempo,Verificar las fechas de pago acordadas y presentar queja ante la autoridad laboral si es necesario,- Verificar fechas de pago. - Pagar con intereses legales. - Denunciar a SUNAFIL si persiste.,Artículo 51 del DS 003-97-TR (Pago oportuno),"salario, no pagado, retraso, pago"
Empleado con bajo rendimiento debido a estrés laboral,"Proporcionar apoyo psicológico, reducir carga laboral",- Evaluar carga de trabajo. - Ofrecer apoyo psicológico. - Redistribuir tareas.,Artículo 29 de la Ley 29783 (Salud laboral),"estrés, bajo rendimiento, salud, trabajo, sobrecarga"
Empleado denuncia discriminación por género,"Tomar medidas inmediatas, implementar políticas de igualdad y sensibilización",- Investigar denuncia. - Sancionar si corresponde. - Capacitar en igualdad de género.,Artículo 26 de la Constitución (Igualdad),"discriminación, género, igualdad, trato desigual"
Conflicto por favoritismo en la asignación de tareas,"Investigar, garantizar una asignación de tareas justa y equitativa",- Revisar asignaciones. - Establecer criterios objetivos. - Capacitar a supervisores.,Artículo 22 del DS 003-97-TR (Igualdad en el trabajo),"favoritismo, tareas, desigualdad, injusto"
Empleado denuncia pelea con compañero,"Investigar el incidente, revisar las políticas de convivencia laboral",- Entrevistar a las partes. - Mediar en el conflicto. - Aplicar sanciones si corresponde.,Artículo 29 del DS 003-97-TR (Convivencia laboral),"pelea, conflicto, compañero, comportamiento"
Empleado denuncia que no se le permite tomar vacaciones,Revisar el contrato y las leyes laborales sobre vacaciones,- Verificar derecho vacacional. - Programar vacaciones pendientes. - Denunciar si hay negativa.,Artículo 15 de la Ley 29783 (Descanso vacacional),"vacaciones, no permitido, descanso, ley"
Conflicto por uso de teléfono móvil durante el trabajo,Revisar las políticas internas de la empresa sobre el uso de dispositivos móviles,- Comunicar políticas claras. - Aplicar sanciones progresivas. - Revisar casos excepcionales.,Reglamento Interno de Trabajo (Artículo 10),"teléfono, uso, trabajo, política"
